name	bg17_1.fastq.AR.sorted.bam	bg22.fastq.AR.sorted.bam	bg5.fastq.AR.sorted.bam	bg6.fastq.AR.sorted.bam	bg7.fastq.AR.sorted.bam	bg8.fastq.AR.sorted.bam	sba15.fastq.AR.sorted.bam	sba16.fastq.AR.sorted.bam	sba17_1.fastq.AR.sorted.bam	sba19_1.fastq.AR.sorted.bam	sba20_1.fastq.AR.sorted.bam	sba38.fastq.AR.sorted.bam	sba46.fastq.AR.sorted.bam	sba47.fastq.AR.sorted.bam	sba48.fastq.AR.sorted.bam	sba49.fastq.AR.sorted.bam	sba50.fastq.AR.sorted.bam
AB302939.1.gene1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AJ866285.2.gene1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0
DQ193536.1.gene1	0	2	0	0	0	0	0	0	1	0	2	0	1	0	2	3	1
EU155018.1.gene1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0
HM751100.1.gene1	0	0	0	0	0	0	0	1	0	4	1	3	0	1	0	2	2
HQ877615.1.gene1	0	1	10	3	1	0	2	0	0	0	1	2	0	1	1	0	0
AF072684.2.gene1	0	0	0	1	1	1	0	1	0	0	0	0	0	2	6	0	0
DQ836922.1.gene1	0	1	0	0	0	0	2	0	0	3	2	1	1	1	7	0	0
EU024485.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
FJ194944.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
EU418913.1.gene1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
EU032604.1.gene1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	5	2	0
AF301532.1.gene1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0
Y16785.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY590467.1.gene1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
AF139725.gene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ125241.gene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ865198.gene	0	58	0	0	0	0	84	0	189	187	0	0	0	0	0	130	0
NC_010558.1.6276071	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_010558.1.6276025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_010558.1.6276043	0	17	0	0	0	0	27	0	16	15	5	23	0	8	6	45	13
NC_010558.1.6276004	0	0	0	0	0	73	0	110	0	0	0	196	0	0	0	0	154
CP001138.1.gene4488	0	2	3	7	4	5	0	0	0	0	0	0	0	0	0	0	0
NC_002516.2.880362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AE000516.2.gene277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_010558.1.6275994	0	51	0	0	0	0	88	1	224	202	0	1	0	0	0	123	0
AE000516.2.gene4100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AE000516.2.gene2404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_010558.1.6275958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AE000516.2.gene2130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP001138.1.gene381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AE000516.2.gene362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AE000516.2.gene2195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_011586.7045202	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0
AE000516.2.gene4101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP001138.1.gene3336	0	47	52	49	57	75	59	78	71	47	51	81	83	67	54	85	116
NC_002745.1122806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AE000516.2.gene4169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_002516.2.880183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_002516.2.881071	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2
U20270.1.gene1	0	0	0	0	1	0	0	0	0	1	1	2	0	3	1	0	1
U58495.2.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U37195.1.gene1	0	2	0	0	0	0	3	0	13	7	6	8	0	4	0	15	4
S71932.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U85514.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S46063.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U10251.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U37105.2.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U63835.1.gene1	0	12	0	0	0	0	72	0	37	35	32	0	0	0	0	59	0
U59183.1.gene3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X58272.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U95364.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X07260.1.gene1	0	16	0	0	0	0	116	0	56	51	38	0	0	0	0	71	0
U92041.1.gene1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0
U95363.2.gene1	0	6	0	0	0	0	9	0	12	18	1	6	0	4	4	11	2
X54606.1.gene1	0	2	0	0	0	0	1	0	5	3	2	4	0	0	1	5	1
X55640.1.gene1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	1
U59183.1.gene2	0	8	0	2	0	0	38	0	21	18	7	6	0	0	0	53	0
X57972.1.gene1	0	4	0	0	0	0	11	0	7	8	1	4	0	2	0	5	2
X65253.1.gene1	0	0	0	0	0	0	0	0	6	3	2	1	0	0	1	3	1
X75562.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X77455.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X64523.1.gene1	0	0	0	0	0	0	5	0	1	3	0	0	0	0	0	3	1
X65254.1.gene1	0	0	0	0	0	0	1	0	1	3	0	1	0	0	0	6	0
X92508.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X65252.1.gene1	0	0	0	0	0	0	0	0	3	5	2	1	0	0	0	1	0
X92507.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X97254.1.gene1	0	0	0	0	0	0	1	0	2	2	0	1	0	1	1	2	0
X78117.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y10280.1.gene1	0	0	0	0	0	0	3	0	4	4	4	0	0	0	0	1	2
Y10281.1.gene1	0	0	0	0	0	0	1	0	5	2	1	1	0	0	1	6	0
Y10693.2.gene1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
X98102.1.gene1	0	1	0	0	1	0	0	0	2	3	0	0	0	0	2	0	0
Y10279.1.gene1	0	3	0	0	0	0	11	1	14	6	2	3	0	1	0	8	5
Y10278.1.gene1	0	4	0	4	0	0	17	12	37	24	3	59	0	6	2	27	0
Y11068.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y13612.1.gene1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	4	0
Y14574.2.gene1	0	0	0	0	0	0	0	0	10	5	2	0	0	0	0	3	2
Y15130.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y17582.1.gene1	0	0	0	0	0	0	2	0	9	0	2	0	0	0	0	0	0
Y16783.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y14156.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ464881.1.gene4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
GQ465831.1.gene2	0	2	4	4	0	5	4	8	1	7	2	6	8	7	8	9	6
Y17584.1.gene1	0	3	0	0	0	0	11	0	15	10	7	11	0	5	2	11	4
Y17583.1.gene1	0	0	0	0	0	0	2	0	2	0	1	2	0	0	0	2	1
Z22590.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB010417.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB074436.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X03615.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JN104597.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB023477.1.gene1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	2	0	0
AB049569.1.gene1	0	2	0	0	0	0	10	0	9	5	3	4	0	0	0	9	4
AB194410.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB196988.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U37105.2.gene3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB204557.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB205197.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB284167.2.gene1	0	1	0	1	0	0	10	1	23	15	3	16	0	1	2	14	0
AB074433.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB280919.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U37105.2.gene6	0	11	0	0	0	0	17	9	16	23	14	15	0	6	6	15	8
AB040994.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB177384.1.gene1	0	0	0	0	0	0	2	0	8	8	1	1	0	0	0	2	0
AB061794.1.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB107899.1.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB429270.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB634250.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF093512.1.gene1	0	5	0	0	0	0	10	0	19	5	1	7	0	3	2	9	5
AF148850.1.gene1	0	0	1	2	0	1	0	3	0	1	0	3	0	2	4	0	1
AB372224.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB529520.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB587082.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF104441.1.gene1	0	0	0	0	0	0	3	0	8	8	2	1	0	0	0	6	0
AF104442.1.gene1	0	0	0	0	0	0	7	0	13	3	1	4	0	1	2	3	3
AB300358.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF010416.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF030945.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF099139.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF135373.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF157553.1.gene1	0	0	0	0	0	0	2	0	2	3	2	2	0	0	1	7	1
AF091113.2.gene1	0	60	0	0	0	0	211	0	150	119	30	135	0	39	46	252	89
AF148851.1.gene1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	4	0	0
AF190694.1.gene1	0	16	0	0	0	0	23	0	8	12	0	23	0	1	1	28	4
AF190695.1.gene1	0	6	0	0	0	0	12	0	7	6	3	14	0	1	2	21	2
AF201826.1.gene1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AF208529.2.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ464881.1.gene5	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0
AF189721.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF219127.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF024602.1.gene3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF190692.1.gene1	0	7	0	0	0	0	16	0	16	8	4	7	0	0	2	18	7
AF190693.1.gene1	0	0	0	0	0	0	0	0	5	3	0	2	0	0	0	2	1
AF201827.1.gene1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AF203816.1.gene1	0	2	0	0	0	0	3	0	6	4	1	3	0	1	0	1	1
Y18050.2.gene3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF167990.3.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF188199.1.gene1	0	10	0	0	0	0	23	0	20	11	4	8	0	6	5	21	10
AF180958.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF219130.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF244145.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF300454.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB061794.1.gene7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF252622.2.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF255921.1.gene2	0	0	17	12	0	1	0	0	0	0	0	49	0	0	0	0	0
AF219135.2.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF252623.2.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF255298.1.gene1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
AF294653.1.gene2	0	0	9	1	0	0	0	0	0	0	0	26	0	0	0	0	0
AF300985.1.gene1	0	2	0	0	0	0	34	0	34	25	23	0	0	0	0	33	0
AF290912.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF024602.1.gene5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
AF219131.2.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF231133.1.gene3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF250872.1.gene1	0	0	0	0	0	0	1	0	5	1	1	1	0	0	0	0	0
AF024602.1.gene6	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
AF294653.1.gene4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF180952.1.gene3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U14748.1.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF259520.1.gene4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF231133.1.gene2	0	0	2	0	0	0	12	0	9	7	2	0	0	0	0	8	0
U50278.1.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF335467.1.gene1	0	215	310	278	289	443	315	495	512	472	348	430	500	595	483	602	742
FR823292.1.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF191564.1.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M63556.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U75641.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y17896.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB061794.1.gene5	0	9	0	0	0	0	24	10	21	21	8	22	0	5	3	26	5
AF313471.1.gene7	0	6	0	0	0	0	22	11	24	25	7	14	0	6	2	28	6
AF174129.3.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF313471.1.gene3	0	0	4	0	0	0	0	0	0	0	0	0	0	8	8	0	0
AF174129.3.gene6	0	7	0	0	0	0	28	5	33	18	14	15	0	4	0	26	4
AF174129.3.gene9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF313471.1.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF325133.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF326355.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF325134.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF332513.1.gene1	0	8	0	0	0	0	124	0	56	46	0	68	0	27	13	153	32
AF317511.1.gene4	0	1	0	0	0	0	6	0	7	7	5	1	0	0	0	11	0
AF347054.1.gene1	0	2	0	0	0	0	9	0	12	3	1	3	0	3	0	9	2
AF350424.1.gene1	0	4	0	0	0	0	46	0	29	27	29	0	0	0	0	31	0
AF351241.1.gene1	0	7	0	0	0	0	14	0	15	12	3	6	0	6	2	11	4
AF427130.1.gene1	0	0	0	0	0	0	4	0	4	5	2	0	0	0	0	5	1
AF357597.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF357599.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF427127.1.gene1	0	3	0	0	0	0	25	0	3	10	3	11	0	2	5	17	2
AF468003.1.gene1	0	0	0	0	0	0	3	0	9	1	2	0	0	0	0	1	2
AF315351.1.gene3	0	1	0	0	0	0	6	0	7	3	3	2	0	0	0	10	0
AF317511.1.gene3	0	1	0	0	0	0	5	0	8	6	5	1	0	0	0	6	0
AF322577.2.gene4	0	0	21	5	0	2	0	0	0	0	0	58	0	0	0	0	0
AF329699.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF371964.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF409092.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF467947.1.gene1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	3	0	2
AF322577.2.gene3	0	1	0	0	0	0	10	0	6	5	4	0	0	0	0	15	0
AF427128.1.gene1	0	0	0	0	0	0	13	0	14	8	1	1	0	1	4	9	2
AF467948.1.gene1	0	0	0	0	0	0	1	0	2	1	0	3	1	0	0	1	2
AF318077.1.gene1	0	0	0	0	0	0	8	0	9	8	5	3	0	0	0	9	0
AF427129.1.gene1	0	0	0	0	0	0	0	0	4	1	2	1	0	0	0	1	0
AF488377.1.gene1	0	0	0	1	0	0	1	0	4	5	2	5	0	0	0	3	0
AF371964.1.gene2	0	2	0	0	0	0	6	0	10	11	4	3	0	0	0	5	0
NC_002516.2.882885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF315351.1.gene2	0	5	0	0	0	0	43	0	31	29	27	0	0	0	0	58	0
AF535129.1.gene1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0
AJ011291.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF322577.2.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF509241.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF516719.1.gene1	0	12	0	0	0	0	24	0	19	6	2	14	0	2	5	28	10
AF518567.2.gene4	0	13	1	1	0	2	33	10	91	56	31	36	0	15	4	50	13
AF535127.1.gene1	0	4	0	0	0	0	9	1	6	7	2	5	0	4	0	13	1
AJ011293.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ239002.1.gene1	0	3	0	0	0	0	12	0	6	5	3	1	0	2	3	8	3
AJ239129.2.gene1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AJ133121.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF318077.1.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF495873.1.gene1	0	1	0	0	0	0	0	0	2	8	2	0	0	0	2	8	3
AF506748.1.gene1	0	2	0	0	0	0	8	0	14	9	3	5	0	1	3	10	2
AF516720.1.gene1	0	9	0	0	0	0	23	0	13	10	5	16	0	3	2	19	4
AF535130.1.gene1	0	0	0	0	0	1	1	0	5	2	2	1	1	1	0	0	1
AF547625.1.gene1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1
AJ132105.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF535128.1.gene1	0	1	1	0	0	0	0	0	2	0	1	0	1	2	1	0	0
AJ005044.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF525303.2.gene5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ400619.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ277414.1.gene1	0	2	0	0	0	0	1	0	1	6	1	3	0	0	0	2	2
AJ416344.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ437107.1.gene1	0	90	0	0	0	0	190	0	69	66	5	93	0	32	27	167	50
AF317511.1.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ277535.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ308558.1.gene1	0	4	0	0	0	0	16	0	19	11	4	9	0	1	6	24	5
AJ318094.1.gene1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
